timestamp,action,neg,neu,pos,SlowD,SlowK,SMA,MACD,MACD_Hist,MACD_Signal
2000-01-03,1.0,0.051,0.871,0.078,89.56,89.3097,259.699,8.4011,0.27,8.1311
2000-01-04,0.0,0.055999999999999994,0.904,0.039,90.8006,85.6698,258.285,8.4432,0.3796,8.0636
2000-01-05,0.0,0.09300000000000001,0.828,0.079,93.5839,93.7007,256.634,8.367,0.3983,7.9687
2000-01-06,0.0,0.079,0.835,0.086,93.6084,93.0314,254.997,8.4148,0.5456,7.8692
2000-01-07,1.0,0.07200000000000001,0.838,0.09,93.9506,94.0196,253.739,8.3106,0.5779,7.7327
2000-01-10,0.0,0.081,0.85,0.068,94.6882,93.7741,252.651,8.3877,0.7994,7.5883
2000-01-11,0.0,0.086,0.846,0.069,95.9464,94.0583,251.098,8.3243,0.9359,7.3884
2000-01-12,0.0,0.115,0.789,0.096,96.792,96.2322,249.675,8.1173,0.9628,7.1545
2000-01-13,1.0,0.09699999999999999,0.818,0.085,88.6578,97.5488,248.208,7.9355,1.0217,6.9138
2000-01-14,1.0,0.09699999999999999,0.8320000000000001,0.071,71.7355,96.5949,246.619,7.5596,0.9013,6.6583
2000-01-18,1.0,0.083,0.816,0.10099999999999999,55.781,71.8297,244.638,6.9413,0.5083,6.433
2000-01-19,1.0,0.11,0.833,0.057,56.3485,46.7818,243.143,6.8444,0.5385,6.3059
2000-01-20,1.0,0.065,0.852,0.083,72.3903,48.7317,241.928,6.8553,0.684,6.1713
2000-01-21,0.0,0.098,0.828,0.07400000000000001,87.9442,73.5321,240.789,7.022,1.0217,6.0003
2000-01-24,0.0,0.098,0.779,0.124,92.6431,94.9071,239.531,6.704,0.9591,5.7449
2000-01-25,1.0,0.07,0.863,0.067,90.822,95.3935,238.279,6.3584,0.8533,5.5051
2000-01-26,0.0,0.054000000000000006,0.87,0.076,85.031,87.6286,237.258,6.2586,0.9668,5.2918
2000-01-27,0.0,0.092,0.835,0.07200000000000001,79.1526,89.444,235.6,5.9026,0.8526,5.0501
2000-01-28,0.0,0.065,0.8540000000000001,0.08,69.4962,78.0203,234.093,5.6079,0.7709,4.8369
2000-01-31,0.0,0.106,0.823,0.07200000000000001,65.0243,69.9935,232.559,5.2458,0.6016,4.6442
2000-02-01,0.0,0.081,0.835,0.084,66.8495,60.4747,231.434,5.078,0.5841,4.4938
2000-02-02,0.0,0.054000000000000006,0.893,0.052000000000000005,74.5114,64.6048,230.539,5.0882,0.7404,4.3478
2000-02-03,1.0,0.077,0.833,0.09,82.7027,75.4689,228.873,4.9764,0.8137,4.1627
2000-02-04,1.0,0.109,0.821,0.069,86.915,83.4605,227.842,4.9364,0.9771,3.9592
2000-02-07,1.0,0.086,0.836,0.078,85.5056,89.1786,226.71,4.506,0.7911,3.715
2000-02-08,0.0,0.113,0.815,0.07200000000000001,80.6293,88.106,225.31,4.0429,0.5257,3.5172
2000-02-09,0.0,0.11900000000000001,0.825,0.057,77.2606,79.2323,224.069,3.5916,0.2058,3.3858
2000-02-10,0.0,0.134,0.7959999999999999,0.07,74.7201,74.5496,223.276,3.4743,0.14,3.3343
2000-02-11,0.0,0.068,0.831,0.1,66.4904,77.9998,222.428,3.3658,0.0665,3.2993
2000-02-14,1.0,0.067,0.8390000000000001,0.09300000000000001,54.4974,71.6109,221.949,3.3016,0.0189,3.2827
2000-02-15,1.0,0.092,0.8190000000000001,0.09,50.0045,49.8604,221.217,3.1257,-0.1522,3.2779
2000-02-16,0.0,0.084,0.8540000000000001,0.062,54.5445,42.021,220.791,2.92,-0.396,3.316
2000-02-17,0.0,0.08900000000000001,0.8270000000000001,0.084,59.8642,58.132,221.149,3.349,-0.066,3.415
2000-02-18,0.0,0.07200000000000001,0.8540000000000001,0.07400000000000001,56.1426,63.4804,220.949,3.3764,-0.0551,3.4315
2000-02-22,0.0,0.105,0.81,0.085,47.9778,57.9804,220.438,3.1576,-0.2876,3.4453
2000-02-23,0.0,0.114,0.823,0.063,38.2168,46.9671,220.121,3.2571,-0.2601,3.5172
2000-02-24,0.0,0.11199999999999999,0.807,0.081,26.0571,38.9858,220.067,3.3733,-0.2089,3.5822
2000-02-25,0.0,0.102,0.8190000000000001,0.079,22.2244,28.6974,220.547,3.5275,-0.1069,3.6345
2000-02-28,1.0,0.107,0.7959999999999999,0.09699999999999999,26.4098,10.4881,220.499,3.8207,0.1595,3.6612
2000-02-29,0.0,0.09699999999999999,0.8340000000000001,0.068,40.5556,27.4878,219.782,3.8868,0.2655,3.6213
2000-03-01,1.0,0.11599999999999999,0.7979999999999999,0.086,48.7258,41.2536,219.371,4.1265,0.5715,3.555
2000-03-02,0.0,0.09699999999999999,0.812,0.091,51.0699,52.9254,218.638,4.1249,0.7129,3.4121
2000-03-03,1.0,0.099,0.8340000000000001,0.067,53.8743,51.9985,217.637,3.9988,0.7649,3.2339
2000-03-06,0.0,0.139,0.7909999999999999,0.071,61.8069,48.2859,216.37,3.8764,0.8337,3.0426
2000-03-07,0.0,0.09699999999999999,0.7979999999999999,0.105,76.435,61.3384,215.017,3.7757,0.9415,2.8342
2000-03-08,0.0,0.095,0.82,0.084,87.0588,75.7964,214.26,3.8194,1.2206,2.5988
2000-03-09,0.0,0.114,0.797,0.08800000000000001,91.705,92.1703,213.11,3.5884,1.2948,2.2937
2000-03-10,1.0,0.11800000000000001,0.818,0.064,90.201,93.2096,211.04,2.7527,0.7828,1.97
2000-03-13,0.0,0.096,0.83,0.07400000000000001,88.451,89.7352,210.019,2.3313,0.557,1.7743
2000-03-14,0.0,0.084,0.84,0.076,81.7205,87.6581,209.219,2.1881,0.5531,1.635
2000-03-15,0.0,0.075,0.852,0.07200000000000001,73.8039,87.9596,208.678,1.8738,0.377,1.4967
2000-03-16,1.0,0.07400000000000001,0.87,0.055999999999999994,64.6935,69.5438,208.592,1.5257,0.1232,1.4025
2000-03-17,1.0,0.083,0.851,0.066,61.7579,63.9084,208.691,1.268,-0.1037,1.3717
2000-03-20,0.0,0.08800000000000001,0.8,0.11199999999999999,54.8669,60.6285,208.94,1.2882,-0.1094,1.3976
2000-03-21,1.0,0.086,0.841,0.073,45.5536,60.737,209.359,1.4948,0.0699,1.4249
2000-03-22,1.0,0.059000000000000004,0.856,0.084,33.8149,43.2353,208.771,1.357,-0.0505,1.4075
2000-03-23,0.0,0.083,0.8190000000000001,0.09699999999999999,34.3333,32.6885,208.267,1.3303,-0.0898,1.4201
2000-03-24,0.0,0.105,0.81,0.085,44.137,25.5208,208.173,1.725,0.2824,1.4426
2000-03-27,0.0,0.073,0.823,0.10300000000000001,63.6566,44.7905,207.489,1.8208,0.4488,1.3719
2000-03-28,0.0,0.064,0.8640000000000001,0.07200000000000001,76.8037,62.0995,206.865,2.1202,0.8604,1.2597
2000-03-29,0.0,0.077,0.841,0.083,80.1596,84.0798,206.052,2.108,1.0634,1.0446
2000-03-30,0.0,0.081,0.82,0.099,69.7215,84.2317,204.753,1.679,0.9002,0.7788
2000-03-31,1.0,0.083,0.821,0.096,53.2258,72.1672,202.995,1.1273,0.5736,0.5537
2000-04-03,0.0,0.087,0.8220000000000001,0.091,43.6533,52.7656,201.538,0.6217,0.2114,0.4103
2000-04-04,0.0,0.1,0.809,0.09,45.9535,34.7447,200.275,-0.0063,-0.3638,0.3575
2000-04-05,0.0,0.077,0.8270000000000001,0.096,59.7152,43.4495,200.4,-0.1622,-0.6107,0.4484
2000-04-06,0.0,0.083,0.852,0.065,70.0912,59.6664,201.444,-0.2754,-0.8765,0.6011
2000-04-07,1.0,0.09300000000000001,0.826,0.081,70.2608,76.0297,202.77,-0.3853,-1.2055,0.8202
2000-04-10,0.0,0.083,0.863,0.054000000000000006,58.1481,74.5774,203.544,-0.302,-1.4236,1.1216
2000-04-11,0.0,0.075,0.8590000000000001,0.065,38.1085,60.1754,204.428,-0.0488,-1.5263,1.4775
2000-04-12,0.0,0.08900000000000001,0.812,0.099,21.3971,39.6917,205.046,0.104,-1.7551,1.8591
2000-04-13,1.0,0.096,0.823,0.081,11.0912,14.4585,205.915,0.4095,-1.8883,2.2979
2000-04-14,0.0,0.087,0.8320000000000001,0.081,13.6921,10.0411,207.141,1.2812,-1.4887,2.7699
2000-04-17,1.0,0.091,0.831,0.078,22.2431,8.7741,208.356,2.2836,-0.8585,3.1421
2000-04-18,0.0,0.081,0.847,0.07200000000000001,38.316,22.2612,208.922,3.3587,0.002,3.3567
2000-04-19,0.0,0.102,0.7929999999999999,0.106,52.6024,35.6941,208.948,3.9144,0.5582,3.3562
2000-04-20,0.0,0.09699999999999999,0.8220000000000001,0.081,64.1114,56.9928,207.958,3.7145,0.4978,3.2167
2000-04-24,0.0,0.07,0.8690000000000001,0.061,70.4635,65.1203,206.721,3.1488,0.0565,3.0922
2000-04-25,1.0,0.054000000000000006,0.8859999999999999,0.06,77.6006,70.2213,206.304,3.1608,0.0827,3.0781
2000-04-26,0.0,0.09300000000000001,0.8270000000000001,0.08,86.5998,76.049,205.867,3.1607,0.1033,3.0574
2000-04-27,1.0,0.094,0.8320000000000001,0.075,83.9481,86.5315,205.364,3.2144,0.1828,3.0316
2000-04-28,0.0,0.07400000000000001,0.8640000000000001,0.061,76.6422,97.2189,204.8064,3.0926,0.1066,2.9859
