year,month,appearance,positive2
2000,1,6,0.5
2000,2,5,0.7
2000,3,1,0.5
2000,4,2,0.5
2000,5,5,0.7
2000,6,7,0.5714285714285714
2000,7,10,0.55
2000,8,6,0.5
2000,9,9,0.5555555555555556
2000,10,7,0.5714285714285714
2000,11,3,0.6666666666666666
2000,12,4,0.375
2001,1,11,0.7272727272727273
2001,2,5,0.4
2001,3,2,0.5
2001,4,1,1.0
2001,5,9,0.7222222222222222
2001,6,6,0.5
2001,7,9,0.6666666666666666
2001,8,4,0.5
2001,9,4,0.375
2001,10,7,0.5714285714285714
2001,11,4,0.625
2001,12,7,0.5714285714285714
2002,1,8,0.5625
2002,2,6,0.5833333333333334
2002,3,2,0.75
2002,4,5,0.6
2002,5,5,0.6
2002,6,6,0.6666666666666666
2002,7,8,0.5
2002,8,7,0.42857142857142855
2002,9,4,0.375
2002,10,7,0.5
2002,11,6,0.6666666666666666
2002,12,2,0.5
2003,1,9,0.6111111111111112
2003,2,1,0.5
2003,3,1,0.5
2003,4,14,0.4642857142857143
2003,5,4,0.625
2003,6,3,0.5
2003,7,5,0.8
2003,8,2,0.5
2003,9,8,0.625
2003,10,5,0.6
2003,11,7,0.42857142857142855
2003,12,12,0.6666666666666666
2004,1,10,0.55
2004,2,3,0.5
2004,3,6,0.5833333333333334
2004,4,6,0.5
2004,5,6,0.75
2004,6,4,0.75
2004,7,8,0.3125
2004,8,6,0.4166666666666667
2004,9,4,0.75
2004,10,6,0.75
2004,11,4,0.5
2004,12,6,0.5833333333333334
2005,1,12,0.5416666666666666
2005,2,7,0.5
2005,3,9,0.6111111111111112
2005,4,5,0.5
2005,5,2,0.5
2005,6,6,0.5833333333333334
2005,7,10,0.45
2005,8,6,0.5833333333333334
2005,9,3,0.6666666666666666
2005,10,6,0.6666666666666666
2005,11,2,0.25
2005,12,2,0.75
2006,1,7,0.5
2006,2,4,0.5
2006,3,15,0.5
2006,4,17,0.6764705882352942
2006,5,18,0.6944444444444444
2006,6,9,0.6666666666666666
2006,7,23,0.4782608695652174
2006,8,25,0.56
2006,9,15,0.5666666666666667
2006,10,26,0.46153846153846156
2006,11,5,0.7
2006,12,12,0.5416666666666666
2007,1,23,0.45652173913043476
2007,2,12,0.4583333333333333
2007,3,10,0.5
2007,4,23,0.5217391304347826
2007,5,7,0.7142857142857143
2007,6,13,0.46153846153846156
2007,7,13,0.5384615384615384
2007,8,15,0.5
2007,9,20,0.575
2007,10,23,0.4782608695652174
2007,11,18,0.5277777777777778
2007,12,12,0.5833333333333334
2008,1,22,0.5454545454545454
2008,2,8,0.4375
2008,3,12,0.4583333333333333
2008,4,11,0.5
2008,5,9,0.6111111111111112
2008,6,13,0.5384615384615384
2008,7,19,0.5263157894736842
2008,8,12,0.5833333333333334
2008,9,20,0.575
2008,10,19,0.631578947368421
2008,11,22,0.4772727272727273
2008,12,17,0.47058823529411764
2009,1,24,0.625
2009,2,11,0.5454545454545454
2009,3,16,0.5
2009,4,20,0.55
2009,5,17,0.5588235294117647
2009,6,29,0.6379310344827587
2009,7,18,0.5555555555555556
2009,8,17,0.5294117647058824
2009,9,23,0.5652173913043478
2009,10,17,0.5
2009,11,16,0.6875
2009,12,23,0.5652173913043478
2010,1,48,0.5520833333333334
2010,2,13,0.3076923076923077
2010,3,26,0.5
2010,4,47,0.5957446808510638
2010,5,27,0.5
2010,6,23,0.5652173913043478
2010,7,34,0.5588235294117647
2010,8,21,0.40476190476190477
2010,9,24,0.6458333333333334
2010,10,21,0.5238095238095238
2010,11,25,0.62
2010,12,18,0.4722222222222222
2011,1,23,0.5217391304347826
2011,2,23,0.5869565217391305
2011,3,16,0.625
2011,4,19,0.5
2011,5,11,0.5454545454545454
2011,6,28,0.5892857142857143
2011,7,19,0.5263157894736842
2011,8,41,0.7195121951219512
2011,9,34,0.5882352941176471
2011,10,57,0.4824561403508772
2011,11,48,0.5416666666666666
2011,12,20,0.575
2012,1,80,0.56875
2012,2,47,0.6276595744680851
2012,3,40,0.575
2012,4,37,0.5540540540540541
2012,5,21,0.4523809523809524
2012,6,47,0.5
2012,7,40,0.5
2012,8,39,0.5897435897435898
2012,9,51,0.6176470588235294
2012,10,33,0.5606060606060606
2012,11,29,0.5
2012,12,24,0.5833333333333334
2013,1,13,0.5769230769230769
2013,2,31,0.5967741935483871
2013,3,12,0.5833333333333334
2013,4,20,0.5
2013,5,41,0.5121951219512195
2013,6,27,0.5740740740740741
2013,7,19,0.7105263157894737
2013,8,19,0.5
2013,9,23,0.6521739130434783
2013,10,16,0.65625
2013,11,20,0.525
2013,12,17,0.5294117647058824
2014,1,16,0.5
2014,2,24,0.4375
2014,3,16,0.59375
2014,4,21,0.5
2014,5,30,0.6333333333333333
2014,6,14,0.5357142857142857
2014,7,13,0.6153846153846154
2014,8,18,0.3611111111111111
2014,9,58,0.5689655172413793
2014,10,41,0.5609756097560976
2014,11,20,0.625
2014,12,20,0.6
2015,1,19,0.5263157894736842
2015,2,19,0.4473684210526316
2015,3,25,0.58
2015,4,24,0.5625
2015,5,20,0.475
2015,6,31,0.5967741935483871
2015,7,22,0.7045454545454546
2015,8,10,0.7
2015,9,42,0.5595238095238095
2015,10,24,0.5416666666666666
2015,11,15,0.6
2015,12,15,0.5333333333333333
2016,1,8,0.5625
2016,2,50,0.6
2016,3,55,0.5727272727272728
2016,4,19,0.4473684210526316
2016,5,13,0.6153846153846154
2016,6,20,0.525
2016,7,9,0.5555555555555556
2016,8,17,0.4117647058823529
2016,9,30,0.6333333333333333
2016,10,11,0.6363636363636364
2016,11,10,0.55
2016,12,11,0.45454545454545453
2017,1,14,0.5
2017,2,9,0.5
2017,3,6,0.5833333333333334
2017,4,8,0.625
2017,5,14,0.5714285714285714
2017,6,27,0.5740740740740741
2017,7,11,0.5454545454545454
2017,8,17,0.5882352941176471
2017,9,28,0.5535714285714286
2017,10,15,0.6
2017,11,11,0.7272727272727273
2017,12,21,0.5714285714285714
2018,1,36,0.5
2018,2,14,0.6428571428571429
2018,3,11,0.7727272727272727
2018,4,8,0.3125
2018,5,22,0.6590909090909091
2018,6,24,0.6458333333333334
2018,7,9,0.5
2018,8,31,0.5
2018,9,34,0.6176470588235294
2018,10,9,0.8888888888888888
2018,11,14,0.5714285714285714
2018,12,14,0.5357142857142857
2019,1,35,0.4
2019,2,17,0.5588235294117647
2019,3,31,0.3870967741935484
2019,4,29,0.6379310344827587
2019,5,15,0.7
2019,6,15,0.4
2019,7,6,0.5
2019,8,18,0.5
2019,9,24,0.6041666666666666
