company,date,time,language,liked,retweet,id,text
$MSFT,2019-10-11,Fri Oct 11 23:54:35,en,93,4,1182806733846007808,"When you plug 20 year old hardware into Windows 10, pop in a floppy disk, and everything just works. This is why… https://t.co/mAGEUBF6pk"
$MSFT,2019-10-11,Fri Oct 11 23:53:42,en,0,2,1182806509865930752,"RT @SVAInsights: We are back this week for FANG Friday to look at all the FANG's, but also our client model portfolio. 

To learn more head…"
$MSFT,2019-10-11,Fri Oct 11 23:52:44,en,0,0,1182806269943570432,"Your Stock Portfolio on the #iPhone.
$FB #DowJones #ios $MSFT @Relay_RTs

https://t.co/gvX4977ffI"
$MSFT,2019-10-11,Fri Oct 11 23:48:56,en,0,0,1182805310198681600,The Compound Effect by Darren Hardy: https://t.co/czGhVZckbQ #investing #compunding $SPY $AAPL $MSFT $GE $KO $MSFT $AMZN
$MSFT,2019-10-11,Fri Oct 11 23:47:23,en,0,4,1182804923970400256,RT @asymco: $AAPL and $MSFT are neck-and-neck on market cap with both closing at $1.067T
$MSFT,2019-10-11,Fri Oct 11 23:46:01,en,0,0,1182804578837913602,"Dennis Needs To Be FIRED! 
But We'll Take The Split.
Cheers!
$ba $amzn $aapl $agn $bhc $crm $cmg  $dal $ual $ms $gs… https://t.co/Hx9qN1AHGr"
$MSFT,2019-10-11,Fri Oct 11 23:44:05,en,0,0,1182804090092429314,"$ATVI $AAPL $SNE $MSFT $TTWO:

Videogame Stocks Have History on Their Side:

https://t.co/jyYA5mOTGC"
$MSFT,2019-10-11,Fri Oct 11 23:43:02,en,0,6,1182803825591275521,"RT @asymco: …but $AAPL is priced at P/E of 20, while $MSFT is at 27.6"
$MSFT,2019-10-11,Fri Oct 11 23:40:39,en,22,6,1182803227915378689,"…but $AAPL is priced at P/E of 20, while $MSFT is at 27.6"
$MSFT,2019-10-11,Fri Oct 11 23:38:24,en,19,4,1182802662078566400,$AAPL and $MSFT are neck-and-neck on market cap with both closing at $1.067T
$MSFT,2019-10-11,Fri Oct 11 23:26:34,en,0,0,1182799683078496258,$MSFT 25-Oct-19 ATM Implied Volatility is down -5.1% to 28.0. Straddle Implies a Move of ±4.4%. Earnings Oct 23 AMC. https://t.co/LQy44rMJVJ
$MSFT,2019-10-11,Fri Oct 11 23:20:20,en,0,1,1182798114954055684,"RT @DefyCCC: @DrREpstein #BigTech ($GOOG, $FB, $TWTR, $MSFT, &amp; $AAPL) is a collusive monopoly. Their executables are in violation of 18 U.S…"
$MSFT,2019-10-11,Fri Oct 11 23:15:13,en,3,0,1182796825172025344,"$AAPL $AMZN $MSFT

$AAPL
Traded the breakout today with great results. Typically don't trade the name but I think I… https://t.co/FUh8f5Y5uy"
$MSFT,2019-10-11,Fri Oct 11 23:14:41,en,0,2,1182796692833226752,"RT @SVAInsights: We are back this week for FANG Friday to look at all the FANG's, but also our client model portfolio. 

To learn more head…"
$MSFT,2019-10-11,Fri Oct 11 23:07:03,en,0,0,1182794770961391616,$MSFT paid huge in room WOW what a day .🦏 https://t.co/m02vFxnc8o
$MSFT,2019-10-11,Fri Oct 11 22:52:52,en,0,3,1182791203420594177,RT @dtellom: Seems $AAPL just passed $MSFT as most valued. Silence. Always rabid convulsions when in reverse.
$MSFT,2019-10-11,Fri Oct 11 22:37:28,en,0,26,1182787324956086272,"RT @SilentWhstlBlwr: ""#Chainlink Has Completely Decoupled From #Bitcoin, $Link Is No Longer Influenced By #BTC."" @Forbes
Institutional Inte…"
$MSFT,2019-10-11,Fri Oct 11 22:21:51,en,1,0,1182783394809286656,"Bought $MSFT puts at $140.66

Come get me bulls 🐻 https://t.co/2uqRKSk1hG"
$MSFT,2019-10-11,Fri Oct 11 22:19:47,en,0,26,1182782876875542528,"RT @SilentWhstlBlwr: ""#Chainlink Has Completely Decoupled From #Bitcoin, $Link Is No Longer Influenced By #BTC."" @Forbes
Institutional Inte…"
$MSFT,2019-10-11,Fri Oct 11 22:14:50,en,0,26,1182781632157224961,"RT @SilentWhstlBlwr: ""#Chainlink Has Completely Decoupled From #Bitcoin, $Link Is No Longer Influenced By #BTC."" @Forbes
Institutional Inte…"
$MSFT,2019-10-11,Fri Oct 11 22:03:51,en,0,0,1182778867637014535,Will Q3 Earnings Drive Dow ETF Higher? $DIA Also $GS $IBM $JNJ $JPM $UNH $MSFT https://t.co/Y5Mh9tdcgJ
$MSFT,2019-10-11,Fri Oct 11 22:03:13,en,5,0,1182778707099947011,"$MSFT settled +0.4% at $139.68, and that made for a black candle, which leans s/t bearish. https://t.co/fGXnjiMljg"
$MSFT,2019-10-11,Fri Oct 11 22:01:31,en,0,26,1182778279033495552,"RT @SilentWhstlBlwr: ""#Chainlink Has Completely Decoupled From #Bitcoin, $Link Is No Longer Influenced By #BTC."" @Forbes
Institutional Inte…"
$MSFT,2019-10-11,Fri Oct 11 22:01:13,en,4,2,1182778203582140419,"We are back this week for FANG Friday to look at all the FANG's, but also our client model portfolio. 

To learn mo… https://t.co/ZrvzCrfw83"
$MSFT,2019-10-11,Fri Oct 11 21:56:25,en,4,1,1182776996838957056,"Weekly Sample Portfolio Update - Week 41 — SteemLeo https://t.co/l4RgT6ckTi

$ES_F $NQ_F $RTY_F $ZB_F $GC_F $SPX… https://t.co/BMR8rwxYoa"
$MSFT,2019-10-11,Fri Oct 11 21:52:44,en,0,0,1182776071139348485,Thank you @realDonaldTrump thank you @federalreserve.  Let’s make America great again and make Dow 50000 happen! $fb $msft $twtr $aapl
$MSFT,2019-10-11,Fri Oct 11 21:38:58,en,0,1,1182772603368497152,RT @IBD_BDeagon: Which company just passed Microsoft as world's most valuable company? https://t.co/vVjQHdo8Bl $MSFT #stocks $AAPL #technol…
$MSFT,2019-10-11,Fri Oct 11 21:34:30,en,0,0,1182771482793070592,"https://t.co/CvmKP0Z85B Stocks rise on trade progress, S&amp;P 500 notches weekly gain $MSFT #MSFT #Tradeagreements… https://t.co/G1aBuH5nZQ"
$MSFT,2019-10-11,Fri Oct 11 21:34:26,en,0,0,1182771462878445568,"Stocks rise on trade progress, S&amp;P 500 notches weekly gain $MSFT #MSFT #Tradeagreements #Tradepolicy… https://t.co/5zNZbbgcAX"
$MSFT,2019-10-11,Fri Oct 11 21:30:25,en,1,0,1182770454999851012,"Remember, the @3MScott #AR SCBA headset is Powered By #Kopin!

1M active #firefighters in North America keep us saf… https://t.co/BwyWOiaHnQ"
$MSFT,2019-10-11,Fri Oct 11 21:14:06,en,4,0,1182766345315860480,"Remember, #GoogleGlass is Powered By #Kopin!

$KOPN

$VUZI $GOOGL $GOOG $EMAN $HIMX $MSFT

#wearables… https://t.co/VkHGTKzmMt"
$MSFT,2019-10-11,Fri Oct 11 21:11:42,en,1,1,1182765744339275778,Which company just passed Microsoft as world's most valuable company? https://t.co/vVjQHdo8Bl $MSFT #stocks $AAPL #technology
$MSFT,2019-10-11,Fri Oct 11 21:10:03,et,0,0,1182765329610657792,"$AMZN 1731.92 (+11.66  +0.68%)
$GOOGL 1215.71 (+6.24  +0.52%)
$NFLX 282.93 (+2.45  +0.87%)
$TSLA 247.89 (+3.15  +1.… https://t.co/hFeiRuSV89"
$MSFT,2019-10-11,Fri Oct 11 21:09:59,en,0,3,1182765310127964160,"RT @tpetruno: A tie at the top! The five biggest stocks by market value (Yahoo data):

Apple $AAPL $1.067 trillion
Microsoft $MSFT $1.067 t…"
$MSFT,2019-10-11,Fri Oct 11 21:09:12,en,0,3,1182765111989198850,"RT @tpetruno: A tie at the top! The five biggest stocks by market value (Yahoo data):

Apple $AAPL $1.067 trillion
Microsoft $MSFT $1.067 t…"
$MSFT,2019-10-11,Fri Oct 11 21:07:29,en,0,3,1182764681909456897,RT @dtellom: Seems $AAPL just passed $MSFT as most valued. Silence. Always rabid convulsions when in reverse.
$MSFT,2019-10-11,Fri Oct 11 21:07:10,en,0,3,1182764602939138050,"RT @tpetruno: A tie at the top! The five biggest stocks by market value (Yahoo data):

Apple $AAPL $1.067 trillion
Microsoft $MSFT $1.067 t…"
$MSFT,2019-10-11,Fri Oct 11 21:06:55,en,3,3,1182764539630063617,"A tie at the top! The five biggest stocks by market value (Yahoo data):

Apple $AAPL $1.067 trillion
Microsoft… https://t.co/zVGqTJpeF3"
$MSFT,2019-10-11,Fri Oct 11 21:00:01,en,0,0,1182762801712062464,"Microsoft | $MSFT

Das Push

Long or short it on WCX: https://t.co/uFOX6JairK https://t.co/WpQAS32roq"
$MSFT,2019-10-11,Fri Oct 11 20:42:16,en,1,0,1182758337063968768,@PennyGodfather Tech is being held up by $AAPL and $MSFT.  What a joke!  Pull up the historic chart on msft and add… https://t.co/HhWIgXwSRk
$MSFT,2019-10-11,Fri Oct 11 20:40:52,en,1,0,1182757982662287366,$MSFT &amp; $AAPL tied for for that #1🔥🔥🔥🔥🔥 https://t.co/E3jsYtPYWj
$MSFT,2019-10-11,Fri Oct 11 20:40:48,en,0,1,1182757966774263808,RT @NoahBlaineNews: Follow me for constantly updating news on your favorite financial stocks and option activity. $spy $djia $baba $amzn $m…
$MSFT,2019-10-11,Fri Oct 11 20:40:18,en,0,1,1182757839573372928,Follow me for constantly updating news on your favorite financial stocks and option activity. $spy $djia $baba… https://t.co/2KbITw1PaY
$MSFT,2019-10-11,Fri Oct 11 20:37:59,en,0,0,1182757259367141377,wow $MA closed horribly so did $MSFT
$MSFT,2019-10-11,Fri Oct 11 20:36:04,en,18,3,1182756773796732928,Seems $AAPL just passed $MSFT as most valued. Silence. Always rabid convulsions when in reverse.
$MSFT,2019-10-11,Fri Oct 11 20:34:12,en,0,1,1182756306454745089,$MSFT Microsoft Elliott Wave View: Why It Will Be Supported Into $157.78-$172.77 Area #ElliottWave -Video &amp; Charts… https://t.co/bFCbVUJ1hN
$MSFT,2019-10-11,Fri Oct 11 20:27:11,en,0,4,1182754541277765632,RT @IBD_ECarson: Nasdaq Eyes Move Above Key Level; Five Software Stocks Near Buy Points https://t.co/cyGFgMs9dZ $AAPL $MSFT $DOCU $PFPT $GW…
$MSFT,2019-10-11,Fri Oct 11 20:25:22,en,0,0,1182754083649683456,@TheTerminal @BloombergTV Trillion Dollar Club $AAPL $MSFT $AMZN #Stocks #Markets https://t.co/AkxuG2r5AG
$MSFT,2019-10-11,Fri Oct 11 20:25:04,en,0,1,1182754009347776514,RT @EdLudlow: oh go on then. $AAPL $MSFT Mkt cap spread chart. @TheTerminal @BloombergTV https://t.co/RSM4QnVCuC
$MSFT,2019-10-11,Fri Oct 11 20:24:35,en,0,0,1182753885611409408,"$MSFT closes below its opening price unable to hold early session gains: https://t.co/Uv2JExVT5Q
Sentiment: Neutral #MSFT #Microsoft"
$MSFT,2019-10-11,Fri Oct 11 20:23:08,en,1,1,1182753520274919424,oh go on then. $AAPL $MSFT Mkt cap spread chart. @TheTerminal @BloombergTV https://t.co/RSM4QnVCuC
$MSFT,2019-10-11,Fri Oct 11 20:21:29,en,1,0,1182753105391292419,Apple overtakes $MSFT as most valuable US company $AAPL
$MSFT,2019-10-11,Fri Oct 11 20:18:11,en,0,0,1182752273656668162,"$AMZN $WMT $MSFT:

Amazon Earnings May Not Impress, But Here’s Why the Stock Could Still Be a Buy:

https://t.co/iTyRWKgSER"
$MSFT,2019-10-11,Fri Oct 11 20:10:22,et,0,0,1182750306960056320,"$ES_F 
#DayTrading #Eminis #internals 
#Es_f $es_f $NQ_F $NQ $ES #nq_f #tf_f #rty_f #ym_f $YM_F #forex #fx $spy… https://t.co/IavulN0YCX"
$MSFT,2019-10-11,Fri Oct 11 20:07:51,en,0,0,1182749673720893441,$MSFT Option Order Flow Sentiment is 63.7% Bullish. https://t.co/Mh3FloPARZ
$MSFT,2019-10-11,Fri Oct 11 20:06:03,en,0,1,1182749220354363395,"Today's million dollar CALL #options trade:
$AAPL $AMZN $BABA $BYND $CAT $GOOGL $JD $MSFT $NFLX $REAL $ROKU $SOXS… https://t.co/CmxVQxEKEu"
$MSFT,2019-10-11,Fri Oct 11 20:05:02,en,0,0,1182748965558767616,"Top #moneyflow for #nasdaq today
$ORCL $AMZN $NVDA $PCAR $GOOG $AMGN $MSFT $AMAT $LRCX $BIDU ...
https://t.co/S59zN0R1wP"
$MSFT,2019-10-11,Fri Oct 11 20:04:00,en,0,0,1182748706417848320,"Qs started to wobble, then fell, into the close. 

$spx $spy $nq $qqq $nq_f $es_f $dia $djia $comp $uvxy $vix $iwm… https://t.co/82HzK0FI6F"
$MSFT,2019-10-11,Fri Oct 11 20:01:09,en,0,0,1182747986775789568,"Set a new rule to dont do lotto
But man $amzn $msft $nflx $googl $nvda and many more
Just wow"
$MSFT,2019-10-11,Fri Oct 11 19:55:25,fr,5,0,1182746544073773056,"Microsoft fête l’accord phase 1 à sa manière 

$MSFT —&gt; https://t.co/BYIJIy8g9o"
$MSFT,2019-10-11,Fri Oct 11 19:55:10,en,0,0,1182746483768123392,"$RMSL 012? 52WKHIGH 22 cents!UPDATE. TINY FLOAT💸📈
$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT… https://t.co/DVYes6WGZ9"
$MSFT,2019-10-11,Fri Oct 11 19:55:00,en,0,0,1182746439597744128,#estate asset watch - top cap money flow for Friday - $AAPL $AMZN $BABA $ROKU $MSFT $FB $NFLX $TSLA $AMD $BAC $JPM… https://t.co/SLSnHugSvD
$MSFT,2019-10-11,Fri Oct 11 19:54:51,en,0,0,1182746401559711749,$RMSL .012? 52WKHIGH 22 cents!UPDATE. TINY FLOAT!💸📈 $AAPL $GOOG $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX $NOK… https://t.co/nljkoTOJ8y
$MSFT,2019-10-11,Fri Oct 11 19:54:38,en,0,0,1182746348166307840,$RMSL .012? 52WKHIGH 22 cents!UPDATE. TINY FLOAT!💸📈🛒🍾 $AAPL $ACWI $BHP $CBRL $CERN $CRM $CXO $DIA $EWZ $FANG $GDX… https://t.co/ds96EyDwPa
$MSFT,2019-10-11,Fri Oct 11 19:53:50,en,0,0,1182746147963752448,"$RMSL .012? 52WKHIGH 22 cents!UPDATE. TINY FLOAT!💸
$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT… https://t.co/Yzcbn4y2HK"
$MSFT,2019-10-11,Fri Oct 11 19:50:46,und,0,0,1182745375674916864,$RMSL 012!? 52WKHIGH 22CENTS UNSEEN UPDATE!💸📈🛒 l $tlry $igpk $bpth $trsi $ldsi $blsp $shmn $adny $vyst $apha $nbev… https://t.co/K9xz32o1RZ
$MSFT,2019-10-11,Fri Oct 11 19:47:36,en,1,0,1182744580569128965,"Thar she goes 📉

$spx $spy $nq $qqq $nq_f $es_f $dia $djia $comp $uvxy $vix $iwm $googl $goog $aapl $msft $intc… https://t.co/kT3IqOMSQr"
$MSFT,2019-10-11,Fri Oct 11 19:45:22,en,0,0,1182744017148223488,Wobbling into close..    $spx $spy $nq $qqq $nq_f $es_f $dia $djia $comp $uvxy $vix $iwm $googl $goog $aapl $msft… https://t.co/TUsTqrvmtd
$MSFT,2019-10-11,Fri Oct 11 19:43:59,en,0,0,1182743669369196546,"$AAPL FINDS $AAPL CHEAP AT THESE PRICES 

$ES $ES_F $SPX $SPY $QQQ $IWM $VXX $VIX $AMZN $MSFT $XLF"
$MSFT,2019-10-11,Fri Oct 11 19:43:10,en,0,2,1182743461746892801,"RT @realsheepwolf: 💰 $SNWV NEWS!! #FDA CLEARED -""FIRST AND ONLY""=ADVANTAGE
HUGE #DIABETES BREAKTHROUGH

$PATK $LOGC $RDIB $TLSA $STKS $DSWL…"
$MSFT,2019-10-11,Fri Oct 11 19:43:00,en,2,2,1182743419644334080,"💰 $SNWV NEWS!! #FDA CLEARED -""FIRST AND ONLY""=ADVANTAGE
HUGE #DIABETES BREAKTHROUGH

$PATK $LOGC $RDIB $TLSA $STKS… https://t.co/z295hN8Hxo"
$MSFT,2019-10-11,Fri Oct 11 19:35:50,en,0,9,1182741618593394689,RT @TCMLLC: $DOCU $COUP $NOW $OKTA $RH $LULU $MSFT $TGT $NKE $COST $TER $SEDG $RNG $PFSI some of the leading issues that are early leaders…
$MSFT,2019-10-11,Fri Oct 11 19:29:56,en,0,0,1182740134174822402,"Top credit put spreads screened for market leaders, positive theoretical edge &gt;+10% and &gt;70% win rates $MSFT $AAPL… https://t.co/6EW0VSimxt"
$MSFT,2019-10-11,Fri Oct 11 19:29:19,en,1,0,1182739979312734209,"""pantsshittingshortsqueeze.exe""

$ES $ES_F $SPX $SPY $QQQ $IWM $VXX $VIX $AAPL $AMZN $MSFT $XLF"
$MSFT,2019-10-11,Fri Oct 11 19:28:41,en,0,1,1182739815885869059,RT @chicagosean: NEW POST: Good buy? or Goodbye! $MSFT looks like a coiled spring ready to pop in either direction. Here's the play: https:…
$MSFT,2019-10-11,Fri Oct 11 19:25:50,en,0,0,1182739102493564929,"Good technicals, but also a nice setup pattern forming for $MSFT. Now part of our top breakout selection. https://t.co/hcyT6bUPgY"
$MSFT,2019-10-11,Fri Oct 11 19:25:38,en,0,0,1182739052392583169,"@alex $AMZN $5T
$MSFT $4T
$GOOG $3T 
??"
$MSFT,2019-10-11,Fri Oct 11 19:23:11,en,0,0,1182738435272036358,"$AAPL $COMP $MSFT $FB $AMZN:

Apple Stock Shrugs Off Worry as It Aims for an All-Time High:

https://t.co/rmUx50rKKl"
$MSFT,2019-10-11,Fri Oct 11 19:22:01,en,0,0,1182738138138988545,"$SAP
#Cloud revenues grew particularly well, by 37% (33% in constant currency) vs. total revenue growth of 13%. Clo… https://t.co/pgRkwoF0Db"
$MSFT,2019-10-11,Fri Oct 11 19:19:57,en,0,0,1182737618737549315,"$MSFT They don't give Microsoft enough credit man, they are waaay undervalued. All they think about or have wet dreams about is Apple lol."
$MSFT,2019-10-11,Fri Oct 11 19:19:22,en,0,0,1182737475002916864,#DJI #Stocks with the highest Profit Margin: $V $MSFT $MCD $INTC $JPM $CSCO $MRK $PFE $AXP $AAPL… https://t.co/o2SpD6Jzt7
$MSFT,2019-10-11,Fri Oct 11 19:17:28,en,0,0,1182736997263335425,"Top Most Active #SPX #Stocks today: $AMD $BAC $GE $FCX $AAPL $F $FAST $MU $T $MSFT 
https://t.co/rJ1dllFqEP https://t.co/02uifzLG0A"
$MSFT,2019-10-11,Fri Oct 11 19:17:26,en,3,1,1182736986869653504,why $GOOGL or $MSFT should buy $SNAP $PINS $MTCH #advertising
$MSFT,2019-10-11,Fri Oct 11 19:16:13,en,0,0,1182736678995349504,TOP #DJI #Stocks with the best Growth Rank: $V $MSFT $INTC $UNH $CSCO $JNJ $CAT $AXP $MRK $HD… https://t.co/iqztwh26kC
